date,symbol,action,quantity
2024-01-15,CL=F,buy,41
2024-01-16,CL=F,buy,40
2024-01-16,CL=F,sell,93
2024-01-16,GC=F,sell,28
2024-01-16,GC=F,sell,77
2024-01-16,SI=F,sell,20
2024-01-16,CL=F,sell,25
2024-01-16,CL=F,sell,14
2024-01-16,GC=F,buy,26
2024-01-16,GC=F,sell,27
2024-01-17,GC=F,buy,3
2024-01-17,GC=F,buy,25
2024-01-17,GC=F,sell,63
2024-01-17,CL=F,buy,17
2024-01-17,GC=F,sell,18
2024-01-17,SI=F,sell,21
2024-01-18,SI=F,sell,44
2024-01-18,CL=F,buy,24
2024-01-19,CL=F,buy,37
2024-01-19,CL=F,sell,38
2024-01-19,CL=F,sell,16
2024-01-19,CL=F,sell,96
2024-01-19,SI=F,sell,76
2024-01-19,GC=F,sell,84
2024-01-20,GC=F,buy,8
2024-01-20,SI=F,sell,16
2024-01-20,CL=F,buy,50
2024-01-21,GC=F,buy,6
2024-01-21,GC=F,buy,50
2024-01-22,CL=F,sell,79
2024-01-22,SI=F,sell,27
2024-01-22,SI=F,buy,1
2024-01-22,CL=F,buy,4
2024-01-22,GC=F,buy,49
2024-01-23,SI=F,buy,4
2024-01-23,GC=F,sell,37
2024-01-23,GC=F,sell,53
2024-01-23,GC=F,buy,24
2024-01-24,SI=F,sell,45
2024-01-24,GC=F,buy,26
2024-01-24,SI=F,sell,91
2024-01-24,SI=F,buy,5
2024-01-24,SI=F,buy,13
2024-01-24,CL=F,sell,72
2024-01-24,GC=F,sell,24
2024-01-24,GC=F,buy,30
2024-01-24,SI=F,sell,47
2024-01-24,CL=F,sell,81
2024-01-24,CL=F,sell,72
2024-01-25,CL=F,sell,49
2024-01-25,CL=F,sell,69
2024-01-25,GC=F,buy,41
2024-01-25,GC=F,buy,19
2024-01-25,GC=F,sell,38
2024-01-25,SI=F,buy,25
2024-01-25,CL=F,buy,42
2024-01-25,CL=F,sell,93
2024-01-25,CL=F,buy,20
2024-01-25,SI=F,sell,86
2024-01-26,CL=F,sell,68
2024-01-27,CL=F,sell,52
2024-01-27,CL=F,sell,29
2024-01-27,CL=F,sell,18
2024-01-28,CL=F,sell,99
2024-01-28,CL=F,buy,8
2024-01-28,CL=F,buy,24
2024-01-28,GC=F,buy,15
2024-01-28,SI=F,buy,38
2024-01-28,CL=F,sell,98
2024-01-28,CL=F,buy,34
2024-01-28,CL=F,buy,34
2024-01-28,GC=F,buy,4
2024-01-28,GC=F,buy,45
2024-01-28,GC=F,buy,19
2024-01-29,SI=F,buy,12
2024-01-29,CL=F,sell,18
2024-01-29,GC=F,sell,75
2024-01-29,CL=F,sell,53
2024-01-30,CL=F,sell,96
2024-01-30,SI=F,buy,17
2024-01-30,GC=F,sell,45
2024-01-30,CL=F,sell,32
2024-01-30,GC=F,buy,7
2024-01-30,GC=F,buy,41
2024-01-30,GC=F,sell,77
2024-01-30,GC=F,sell,27
2024-01-31,SI=F,sell,60
2024-01-31,GC=F,sell,56
2024-01-31,CL=F,buy,13
2024-02-01,CL=F,buy,34
2024-02-01,GC=F,sell,64
2024-02-01,CL=F,buy,33
2024-02-01,GC=F,buy,6
2024-02-01,CL=F,sell,66
2024-02-02,SI=F,buy,8
2024-02-02,SI=F,buy,31
2024-02-02,CL=F,buy,31
2024-02-02,GC=F,buy,12
2024-02-02,CL=F,sell,70
2024-02-02,CL=F,buy,24
2024-02-03,CL=F,sell,96
2024-02-03,CL=F,sell,85
2024-02-03,CL=F,sell,37
2024-02-03,SI=F,sell,80
2024-02-03,GC=F,buy,50
2024-02-03,SI=F,sell,61
2024-02-03,CL=F,sell,80
2024-02-03,CL=F,buy,29
2024-02-03,GC=F,sell,61
2024-02-04,GC=F,sell,42
2024-02-04,CL=F,buy,7
2024-02-04,CL=F,sell,64
2024-02-04,GC=F,sell,66
2024-02-05,GC=F,sell,19
2024-02-05,CL=F,sell,43
2024-02-05,CL=F,sell,13
2024-02-05,CL=F,buy,50
2024-02-05,SI=F,buy,46
2024-02-06,CL=F,sell,59
2024-02-06,GC=F,buy,29
2024-02-06,GC=F,buy,20
2024-02-06,CL=F,sell,19
2024-02-06,GC=F,sell,28
2024-02-07,GC=F,sell,56
2024-02-07,SI=F,sell,30
2024-02-08,GC=F,sell,33
2024-02-08,CL=F,buy,50
2024-02-08,GC=F,buy,27
2024-02-08,CL=F,sell,52
2024-02-08,SI=F,buy,36
2024-02-09,CL=F,sell,92
2024-02-09,CL=F,sell,54
2024-02-09,SI=F,buy,42
2024-02-09,GC=F,buy,32
2024-02-09,SI=F,buy,2
2024-02-09,GC=F,sell,63
2024-02-09,GC=F,sell,77
2024-02-09,GC=F,buy,36
2024-02-09,GC=F,sell,95
2024-02-09,GC=F,sell,38
2024-02-10,CL=F,sell,21
2024-02-10,SI=F,sell,54
2024-02-10,SI=F,buy,33
2024-02-10,GC=F,buy,15
2024-02-10,CL=F,sell,83
2024-02-10,SI=F,sell,91
2024-02-10,GC=F,buy,11
2024-02-10,GC=F,sell,66
2024-02-10,SI=F,sell,53
2024-02-10,SI=F,sell,93
2024-02-10,CL=F,buy,49
2024-02-11,CL=F,sell,91
2024-02-11,CL=F,buy,27
2024-02-11,GC=F,buy,48
2024-02-11,CL=F,sell,70
2024-02-11,GC=F,sell,39
2024-02-12,GC=F,sell,74
2024-02-12,GC=F,buy,19
2024-02-12,SI=F,buy,40
2024-02-12,CL=F,sell,65
2024-02-13,CL=F,buy,25
2024-02-13,GC=F,buy,17
2024-02-13,CL=F,sell,88
2024-02-13,SI=F,buy,45
2024-02-13,CL=F,sell,67
2024-02-13,GC=F,buy,30
2024-02-13,GC=F,sell,71
2024-02-13,GC=F,buy,27
2024-02-14,GC=F,buy,49
2024-02-14,GC=F,sell,23
2024-02-14,CL=F,buy,12
2024-02-14,CL=F,buy,50
2024-02-14,SI=F,sell,12
2024-02-15,GC=F,sell,90
2024-02-15,GC=F,sell,23
2024-02-15,GC=F,buy,13
2024-02-15,GC=F,sell,86
2024-02-15,SI=F,sell,81
2024-02-15,GC=F,buy,26
2024-02-16,CL=F,sell,40
2024-02-16,GC=F,sell,46
2024-02-16,CL=F,buy,18
2024-02-17,CL=F,buy,28
2024-02-17,CL=F,buy,22
2024-02-17,GC=F,buy,22
2024-02-17,GC=F,sell,87
2024-02-17,GC=F,buy,25
2024-02-17,SI=F,buy,44
2024-02-17,GC=F,buy,42
2024-02-18,GC=F,sell,24
2024-02-18,SI=F,buy,9
2024-02-18,GC=F,sell,74
2024-02-18,GC=F,sell,90
2024-02-18,CL=F,sell,36
2024-02-19,CL=F,sell,48
2024-02-19,CL=F,sell,39
2024-02-19,CL=F,sell,36
2024-02-19,CL=F,sell,98
2024-02-19,CL=F,buy,48
2024-02-19,CL=F,sell,79
2024-02-20,GC=F,sell,10
2024-02-20,CL=F,buy,24
2024-02-20,GC=F,sell,33
2024-02-20,GC=F,buy,18
2024-02-20,CL=F,sell,25
2024-02-20,SI=F,sell,28
2024-02-21,SI=F,buy,10
2024-02-21,CL=F,buy,23
2024-02-21,CL=F,buy,9
2024-02-21,CL=F,buy,43
2024-02-21,SI=F,buy,42
2024-02-21,CL=F,sell,83
2024-02-22,GC=F,buy,34
2024-02-22,CL=F,sell,54
2024-02-22,SI=F,buy,2
2024-02-22,CL=F,sell,99
2024-02-22,GC=F,buy,46
2024-02-22,SI=F,sell,65
2024-02-22,CL=F,sell,39
2024-02-22,SI=F,buy,10
2024-02-23,CL=F,sell,37
2024-02-23,CL=F,buy,40
2024-02-23,SI=F,buy,24
2024-02-23,CL=F,sell,55
2024-02-23,GC=F,buy,7
2024-02-23,CL=F,sell,27
2024-02-24,GC=F,buy,27
2024-02-24,CL=F,sell,68
2024-02-24,GC=F,sell,51
2024-02-24,CL=F,buy,15
2024-02-24,SI=F,buy,6
2024-02-25,GC=F,buy,41
2024-02-25,SI=F,sell,25
2024-02-25,SI=F,sell,62
2024-02-25,CL=F,buy,36
2024-02-25,CL=F,sell,26
2024-02-25,CL=F,buy,6
2024-02-25,GC=F,sell,43
2024-02-26,CL=F,buy,33
2024-02-26,GC=F,sell,31
2024-02-26,GC=F,buy,46
2024-02-27,GC=F,sell,85
2024-02-27,SI=F,buy,39
2024-02-27,CL=F,sell,40
2024-02-27,SI=F,sell,73
2024-02-27,CL=F,buy,16
2024-02-27,CL=F,sell,70
2024-02-28,GC=F,buy,35
2024-02-28,CL=F,sell,44
2024-02-28,GC=F,sell,46
2024-02-28,CL=F,sell,50
2024-02-29,SI=F,buy,1
2024-02-29,SI=F,sell,30
2024-02-29,CL=F,sell,10
2024-02-29,SI=F,sell,24
2024-03-01,GC=F,sell,70
2024-03-01,SI=F,buy,47
2024-03-01,CL=F,buy,37
2024-03-01,SI=F,sell,20
2024-03-01,CL=F,sell,99
2024-03-01,GC=F,sell,53
2024-03-02,CL=F,sell,87
2024-03-02,CL=F,sell,60
2024-03-02,GC=F,sell,46
2024-03-02,CL=F,buy,26
2024-03-02,SI=F,buy,32
2024-03-02,SI=F,sell,46
2024-03-03,GC=F,sell,46
2024-03-03,CL=F,sell,50
2024-03-03,GC=F,buy,15
2024-03-03,GC=F,buy,10
2024-03-04,CL=F,buy,8
2024-03-04,CL=F,buy,33
2024-03-04,CL=F,buy,13
2024-03-04,CL=F,buy,21
2024-03-04,SI=F,buy,39
2024-03-05,GC=F,sell,96
2024-03-05,GC=F,sell,15
2024-03-05,SI=F,sell,89
2024-03-05,SI=F,buy,25
2024-03-05,GC=F,sell,66
2024-03-05,GC=F,sell,33
2024-03-05,CL=F,sell,65
2024-03-05,CL=F,buy,32
2024-03-05,SI=F,sell,32
2024-03-06,CL=F,buy,39
2024-03-06,CL=F,buy,35
2024-03-06,GC=F,buy,31
2024-03-06,SI=F,buy,36
2024-03-06,SI=F,buy,34
2024-03-06,SI=F,sell,82
2024-03-06,CL=F,sell,58
2024-03-06,CL=F,sell,66
2024-03-06,CL=F,buy,11
2024-03-06,GC=F,buy,25
2024-03-07,GC=F,sell,43
2024-03-07,CL=F,sell,75
2024-03-07,GC=F,buy,21
2024-03-07,CL=F,sell,58
2024-03-07,CL=F,sell,10
2024-03-07,CL=F,buy,17
2024-03-07,CL=F,sell,92
2024-03-07,GC=F,buy,31
2024-03-07,CL=F,sell,59
2024-03-08,GC=F,sell,94
2024-03-08,CL=F,sell,42
2024-03-08,CL=F,sell,23
2024-03-08,CL=F,sell,61
2024-03-08,CL=F,buy,2
2024-03-08,GC=F,buy,9
2024-03-08,CL=F,buy,12
2024-03-09,GC=F,sell,20
2024-03-09,GC=F,sell,70
2024-03-09,SI=F,sell,99
2024-03-09,SI=F,buy,28
2024-03-09,CL=F,buy,48
2024-03-09,SI=F,buy,39
2024-03-09,CL=F,buy,37
2024-03-09,SI=F,buy,35
2024-03-09,CL=F,sell,41
2024-03-10,CL=F,buy,13
2024-03-10,GC=F,buy,45
2024-03-10,CL=F,sell,85
2024-03-10,SI=F,sell,28
2024-03-10,CL=F,sell,28
2024-03-11,GC=F,sell,46
2024-03-11,CL=F,buy,23
2024-03-11,GC=F,sell,32
2024-03-11,CL=F,buy,38
2024-03-11,GC=F,buy,43
2024-03-12,GC=F,buy,28
2024-03-12,GC=F,buy,12
2024-03-12,GC=F,sell,27
2024-03-12,GC=F,buy,14
2024-03-12,CL=F,sell,59
2024-03-12,GC=F,sell,23
2024-03-12,CL=F,sell,30
2024-03-12,CL=F,sell,69
2024-03-13,CL=F,sell,15
2024-03-13,SI=F,sell,67
2024-03-13,GC=F,sell,72
2024-03-13,CL=F,buy,20
2024-03-14,CL=F,buy,29
2024-03-14,CL=F,sell,84
2024-03-14,CL=F,sell,12
2024-03-15,CL=F,buy,1
2024-03-15,SI=F,buy,31
2024-03-15,SI=F,sell,97
2024-03-15,CL=F,sell,14
2024-03-15,GC=F,buy,41
2024-03-15,CL=F,sell,62
2024-03-15,CL=F,sell,42
2024-03-15,GC=F,sell,57
2024-03-15,CL=F,sell,32
2024-03-15,CL=F,buy,38
2024-03-16,CL=F,buy,5
2024-03-16,GC=F,sell,84
2024-03-16,SI=F,sell,27
2024-03-16,GC=F,sell,15
2024-03-16,GC=F,sell,84
2024-03-16,CL=F,sell,34
2024-03-16,SI=F,sell,25
2024-03-16,CL=F,sell,28
2024-03-17,SI=F,buy,35
2024-03-17,SI=F,sell,68
2024-03-17,CL=F,buy,29
2024-03-17,SI=F,sell,25
2024-03-17,GC=F,buy,29
2024-03-17,CL=F,buy,32
2024-03-17,CL=F,sell,63
2024-03-17,GC=F,buy,36
2024-03-18,CL=F,buy,9
2024-03-18,SI=F,sell,77
2024-03-18,CL=F,sell,95
2024-03-19,CL=F,buy,49
2024-03-19,SI=F,sell,69
2024-03-19,GC=F,buy,6
2024-03-19,GC=F,sell,66
2024-03-19,GC=F,sell,63
2024-03-19,CL=F,buy,49
2024-03-19,CL=F,sell,74
2024-03-20,SI=F,buy,19
2024-03-20,CL=F,sell,100
2024-03-20,GC=F,sell,48
2024-03-20,SI=F,buy,5
2024-03-20,SI=F,sell,24
2024-03-20,CL=F,sell,27
2024-03-21,GC=F,buy,16
2024-03-21,GC=F,buy,19
2024-03-21,GC=F,buy,1
2024-03-21,CL=F,buy,19
2024-03-21,SI=F,sell,99
2024-03-22,CL=F,buy,12
2024-03-22,GC=F,buy,14
2024-03-22,GC=F,buy,13
2024-03-22,CL=F,buy,37
2024-03-22,CL=F,buy,8
2024-03-22,GC=F,buy,26
2024-03-23,GC=F,buy,27
2024-03-23,GC=F,sell,20
2024-03-23,GC=F,sell,63
2024-03-23,CL=F,sell,38
2024-03-23,GC=F,buy,14
2024-03-24,GC=F,buy,7
2024-03-24,CL=F,buy,30
2024-03-24,GC=F,buy,48
2024-03-24,CL=F,buy,4
2024-03-24,CL=F,sell,20
2024-03-25,SI=F,buy,12
2024-03-25,GC=F,sell,19
2024-03-25,CL=F,sell,51
2024-03-25,SI=F,buy,45
2024-03-25,CL=F,sell,47
2024-03-25,GC=F,sell,74
2024-03-25,SI=F,sell,36
2024-03-25,GC=F,buy,5
2024-03-25,GC=F,sell,35
2024-03-25,SI=F,sell,34
2024-03-25,GC=F,buy,38
2024-03-25,CL=F,buy,50
2024-03-25,CL=F,buy,7
2024-03-25,SI=F,sell,90
2024-03-26,CL=F,buy,24
2024-03-26,GC=F,sell,52
2024-03-26,CL=F,sell,78
2024-03-26,SI=F,buy,9
2024-03-27,CL=F,sell,54
2024-03-27,CL=F,sell,55
2024-03-27,CL=F,sell,22
2024-03-27,SI=F,sell,10
2024-03-27,GC=F,sell,89
2024-03-27,GC=F,sell,89
2024-03-27,CL=F,sell,68
2024-03-27,GC=F,sell,28
2024-03-28,CL=F,buy,26
2024-03-28,SI=F,buy,24
2024-03-28,SI=F,sell,10
2024-03-28,CL=F,buy,34
2024-03-28,CL=F,sell,36
2024-03-29,CL=F,sell,71
2024-03-29,SI=F,sell,82
2024-03-29,GC=F,sell,78
2024-03-29,SI=F,sell,49
2024-03-29,GC=F,buy,11
2024-03-29,CL=F,sell,12
2024-03-29,SI=F,sell,27
2024-03-29,GC=F,buy,49
2024-03-29,SI=F,buy,37
2024-03-29,CL=F,buy,1
2024-03-29,CL=F,buy,2
2024-03-30,GC=F,sell,62
2024-03-30,CL=F,sell,46
2024-03-30,GC=F,buy,11
2024-03-30,SI=F,sell,31
2024-03-31,SI=F,buy,14
2024-03-31,SI=F,sell,53
2024-03-31,SI=F,buy,25
2024-03-31,SI=F,sell,66
2024-03-31,GC=F,buy,47
2024-04-01,CL=F,sell,45
2024-04-01,CL=F,sell,65
2024-04-01,CL=F,sell,88
2024-04-01,GC=F,sell,78
2024-04-01,CL=F,sell,65
2024-04-01,SI=F,buy,44
2024-04-01,GC=F,buy,37
2024-04-02,SI=F,sell,91
2024-04-02,GC=F,sell,65
2024-04-02,CL=F,buy,32
2024-04-02,GC=F,sell,19
2024-04-02,GC=F,sell,13
2024-04-02,SI=F,buy,18
2024-04-02,CL=F,buy,14
2024-04-02,CL=F,buy,17
2024-04-02,GC=F,buy,13
2024-04-03,GC=F,sell,24
2024-04-03,GC=F,sell,75
2024-04-03,GC=F,buy,35
2024-04-04,CL=F,sell,68
2024-04-04,SI=F,buy,8
2024-04-04,GC=F,buy,35
2024-04-04,SI=F,sell,74
2024-04-04,GC=F,buy,50
2024-04-04,CL=F,buy,22
2024-04-04,SI=F,sell,38
2024-04-04,CL=F,buy,30
2024-04-05,SI=F,buy,39
2024-04-05,GC=F,buy,2
2024-04-05,SI=F,buy,19
2024-04-05,SI=F,sell,42
2024-04-05,SI=F,sell,90
2024-04-05,SI=F,sell,50
2024-04-05,SI=F,sell,26
2024-04-05,GC=F,sell,73
2024-04-06,CL=F,sell,97
2024-04-06,CL=F,sell,20
2024-04-06,GC=F,sell,86
2024-04-06,GC=F,buy,35
2024-04-06,CL=F,buy,21
2024-04-06,SI=F,sell,77
2024-04-06,SI=F,buy,29
2024-04-06,CL=F,buy,42
2024-04-07,CL=F,buy,22
2024-04-07,SI=F,sell,74
2024-04-07,CL=F,sell,74
2024-04-07,CL=F,buy,50
2024-04-07,CL=F,sell,24
2024-04-07,GC=F,sell,51
2024-04-07,CL=F,buy,2
2024-04-08,CL=F,sell,87
2024-04-08,GC=F,sell,59
2024-04-08,SI=F,buy,27
2024-04-08,CL=F,buy,49
2024-04-08,SI=F,sell,48
2024-04-08,CL=F,sell,49
2024-04-08,CL=F,buy,38
2024-04-09,CL=F,sell,95
2024-04-09,GC=F,sell,63
2024-04-09,SI=F,buy,15
2024-04-09,SI=F,sell,54
2024-04-09,GC=F,sell,31
2024-04-10,SI=F,buy,21
2024-04-10,SI=F,buy,24
2024-04-10,GC=F,sell,58
2024-04-10,GC=F,buy,43
2024-04-10,GC=F,sell,90
2024-04-10,CL=F,sell,15
2024-04-11,SI=F,buy,36
2024-04-11,GC=F,sell,20
2024-04-12,CL=F,sell,64
2024-04-12,CL=F,buy,27
2024-04-12,GC=F,sell,49
2024-04-12,GC=F,sell,65
2024-04-12,CL=F,buy,8
2024-04-12,GC=F,sell,63
2024-04-13,CL=F,buy,43
2024-04-13,SI=F,sell,10
2024-04-14,GC=F,buy,38
2024-04-14,GC=F,sell,34
2024-04-14,GC=F,sell,97
2024-04-14,GC=F,buy,15
2024-04-14,GC=F,buy,39
2024-04-15,CL=F,sell,14
2024-04-15,CL=F,buy,34
2024-04-15,SI=F,sell,38
2024-04-16,CL=F,buy,30
2024-04-16,CL=F,buy,29
2024-04-16,GC=F,buy,47
2024-04-16,GC=F,buy,34
2024-04-16,GC=F,sell,56
2024-04-17,CL=F,buy,40
2024-04-17,GC=F,buy,11
2024-04-17,GC=F,sell,23
2024-04-17,SI=F,buy,16
2024-04-17,CL=F,buy,14
2024-04-18,GC=F,buy,13
2024-04-18,CL=F,sell,41
2024-04-18,CL=F,sell,62
2024-04-18,CL=F,buy,8
2024-04-18,SI=F,buy,37
2024-04-18,GC=F,buy,6
2024-04-18,GC=F,sell,88
2024-04-18,GC=F,buy,45
2024-04-18,CL=F,buy,32
2024-04-19,GC=F,buy,37
2024-04-19,CL=F,sell,80
2024-04-19,CL=F,buy,24
2024-04-19,GC=F,buy,46
2024-04-19,GC=F,sell,73
2024-04-19,SI=F,sell,19
2024-04-19,CL=F,buy,19
2024-04-19,CL=F,buy,26
2024-04-19,GC=F,sell,22
2024-04-20,GC=F,sell,49
2024-04-20,GC=F,buy,39
2024-04-20,GC=F,sell,41
2024-04-20,SI=F,buy,41
2024-04-20,SI=F,buy,28
2024-04-20,SI=F,buy,48
2024-04-20,SI=F,buy,10
2024-04-20,CL=F,buy,48
2024-04-21,CL=F,buy,36
2024-04-21,CL=F,buy,44
2024-04-21,CL=F,sell,59
2024-04-21,GC=F,sell,46
2024-04-21,SI=F,sell,89
2024-04-21,SI=F,sell,85
2024-04-21,CL=F,buy,36
2024-04-21,CL=F,buy,18
2024-04-21,CL=F,buy,39
2024-04-22,CL=F,buy,24
2024-04-22,CL=F,sell,66
2024-04-22,SI=F,sell,37
2024-04-22,GC=F,buy,8
2024-04-22,SI=F,sell,74
2024-04-22,GC=F,buy,31
2024-04-22,SI=F,buy,34
2024-04-22,CL=F,sell,87
2024-04-23,SI=F,sell,94
2024-04-23,GC=F,buy,14
2024-04-23,GC=F,buy,45
2024-04-23,CL=F,buy,14
2024-04-23,SI=F,sell,19
2024-04-23,CL=F,sell,14
2024-04-23,GC=F,buy,45
2024-04-23,CL=F,buy,9
2024-04-24,GC=F,sell,71
2024-04-24,CL=F,sell,30
2024-04-24,SI=F,buy,11
2024-04-24,SI=F,buy,17
2024-04-24,CL=F,buy,39
2024-04-25,GC=F,buy,44
2024-04-25,SI=F,sell,15
2024-04-25,CL=F,sell,14
2024-04-25,GC=F,sell,17
2024-04-26,CL=F,buy,7
2024-04-26,CL=F,sell,31
2024-04-26,CL=F,buy,17
2024-04-26,GC=F,buy,31
2024-04-26,SI=F,sell,19
2024-04-26,GC=F,sell,72
2024-04-27,CL=F,buy,33
2024-04-27,GC=F,buy,10
2024-04-27,CL=F,sell,54
2024-04-27,SI=F,buy,27
2024-04-27,CL=F,sell,75
2024-04-28,CL=F,sell,18
2024-04-28,SI=F,sell,93
2024-04-28,SI=F,buy,8
2024-04-28,CL=F,buy,17
2024-04-28,CL=F,sell,70
2024-04-28,GC=F,buy,16
2024-04-28,CL=F,buy,46
2024-04-28,CL=F,sell,90
2024-04-28,GC=F,sell,47
2024-04-28,CL=F,sell,82
2024-04-28,GC=F,sell,47
2024-04-28,GC=F,buy,25
2024-04-28,CL=F,buy,14
2024-04-29,CL=F,buy,39
2024-04-29,GC=F,buy,8
2024-04-29,GC=F,sell,88
2024-04-29,SI=F,sell,79
2024-04-29,SI=F,buy,35
2024-04-29,CL=F,buy,37
2024-04-29,CL=F,sell,83
2024-04-30,CL=F,sell,77
2024-04-30,CL=F,buy,36
2024-04-30,CL=F,sell,64
2024-04-30,GC=F,buy,1
2024-04-30,GC=F,sell,80
2024-04-30,CL=F,sell,78
2024-04-30,GC=F,sell,88
2024-04-30,SI=F,buy,32
2024-05-01,CL=F,buy,44
2024-05-01,SI=F,buy,26
2024-05-01,CL=F,sell,84
2024-05-01,SI=F,buy,35
2024-05-02,SI=F,buy,33
2024-05-02,CL=F,sell,70
2024-05-02,SI=F,buy,38
2024-05-02,GC=F,sell,98
2024-05-02,CL=F,sell,22
2024-05-02,SI=F,buy,47
2024-05-02,SI=F,buy,12
2024-05-02,CL=F,buy,19
2024-05-02,SI=F,sell,57
2024-05-03,SI=F,sell,62
2024-05-03,CL=F,buy,2
2024-05-03,CL=F,sell,76
2024-05-03,GC=F,buy,41
2024-05-03,CL=F,buy,2
2024-05-03,CL=F,sell,47
2024-05-03,CL=F,sell,13
2024-05-04,CL=F,sell,44
2024-05-04,CL=F,sell,57
2024-05-04,GC=F,sell,73
2024-05-04,CL=F,buy,27
2024-05-04,GC=F,sell,63
2024-05-04,CL=F,buy,26
2024-05-05,GC=F,buy,48
2024-05-05,GC=F,sell,68
2024-05-05,CL=F,sell,21
2024-05-05,GC=F,sell,10
2024-05-05,GC=F,sell,76
2024-05-05,CL=F,buy,47
2024-05-05,GC=F,buy,45
2024-05-05,GC=F,sell,84
2024-05-05,SI=F,buy,10
2024-05-06,SI=F,sell,28
2024-05-06,CL=F,sell,50
2024-05-06,GC=F,buy,19
2024-05-06,SI=F,buy,25
2024-05-06,GC=F,sell,68
2024-05-06,CL=F,sell,64
2024-05-06,CL=F,sell,57
2024-05-06,GC=F,sell,20
2024-05-06,GC=F,buy,26
2024-05-06,GC=F,buy,5
2024-05-07,GC=F,buy,5
2024-05-07,CL=F,sell,81
2024-05-07,SI=F,buy,22
2024-05-07,CL=F,sell,74
2024-05-07,CL=F,sell,93
2024-05-07,GC=F,buy,28
2024-05-07,CL=F,sell,93
2024-05-08,GC=F,sell,92
2024-05-08,CL=F,buy,8
2024-05-08,CL=F,buy,37
2024-05-08,CL=F,buy,48
2024-05-09,GC=F,buy,22
2024-05-09,GC=F,sell,59
2024-05-09,SI=F,buy,26
2024-05-09,SI=F,buy,39
2024-05-09,GC=F,sell,86
2024-05-10,SI=F,sell,83
2024-05-10,CL=F,buy,43
2024-05-10,CL=F,buy,37
2024-05-10,GC=F,buy,44
2024-05-10,CL=F,buy,39
2024-05-11,GC=F,buy,41
2024-05-11,CL=F,buy,4
2024-05-11,SI=F,sell,40
2024-05-11,CL=F,sell,71
2024-05-11,SI=F,buy,18
2024-05-11,CL=F,sell,100
2024-05-12,CL=F,sell,17
2024-05-12,GC=F,sell,14
2024-05-12,SI=F,sell,90
2024-05-12,GC=F,sell,31
2024-05-12,GC=F,sell,20
2024-05-12,SI=F,buy,47
2024-05-13,CL=F,sell,13
